14:17:36.704 [pool-3-thread-1] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ===校验数据是否合法通过===
14:17:36.704 [pool-3-thread-4] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ===校验数据是否合法通过===
14:17:36.704 [pool-3-thread-2] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ====校验 库存是否足够===
14:17:36.704 [pool-3-thread-5] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ===校验数据是否合法通过===
14:17:36.704 [pool-3-thread-1] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ====校验 库存是否足够===
14:17:36.704 [pool-3-thread-4] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ====校验 库存是否足够===
14:17:36.704 [pool-3-thread-3] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ====校验 库存是否足够===
14:17:36.704 [pool-3-thread-5] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ====校验 库存是否足够===
14:17:46.381 [Thread-2] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
14:17:46.397 [Thread-2] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
14:30:35.626 [main] INFO  com.bmw.seed.test.DemoTest - Starting DemoTest on LAPTOP-E6B2N0T6 with PID 7836 (started by yuxc in E:\yuxc\xyz\bimowu-Study\case-seckill)
14:30:35.632 [main] INFO  com.bmw.seed.test.DemoTest - No active profile set, falling back to default profiles: default
14:30:39.019 [main] INFO  com.bmw.seed.test.DemoTest - Started DemoTest in 3.892 seconds (JVM running for 4.9)
14:30:39.295 [pool-3-thread-3] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ===开始调用秒杀接口
14:30:39.295 [pool-3-thread-2] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ===开始调用秒杀接口
14:30:39.295 [pool-3-thread-5] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ===开始调用秒杀接口
14:30:39.295 [pool-3-thread-4] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ===开始调用秒杀接口
14:30:39.295 [pool-3-thread-2] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ======验证参数=======
14:30:39.295 [pool-3-thread-3] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ======验证参数=======
14:30:39.295 [pool-3-thread-1] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ===开始调用秒杀接口
14:30:39.296 [pool-3-thread-4] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ======验证参数=======
14:30:39.295 [pool-3-thread-5] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ======验证参数=======
14:30:39.296 [pool-3-thread-1] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ======验证参数=======
14:30:39.410 [pool-3-thread-2] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
14:30:39.641 [pool-3-thread-3] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ===校验数据是否合法通过===
14:30:39.641 [pool-3-thread-1] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ===校验数据是否合法通过===
14:30:39.641 [pool-3-thread-2] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ===校验数据是否合法通过===
14:30:39.641 [pool-3-thread-5] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ===校验数据是否合法通过===
14:30:39.641 [pool-3-thread-4] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ===校验数据是否合法通过===
14:30:39.641 [pool-3-thread-3] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ====校验 库存是否足够===
14:30:39.641 [pool-3-thread-1] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ====校验 库存是否足够===
14:30:39.641 [pool-3-thread-2] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ====校验 库存是否足够===
14:30:39.641 [pool-3-thread-5] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ====校验 库存是否足够===
14:30:39.641 [pool-3-thread-4] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ====校验 库存是否足够===
14:30:49.328 [Thread-2] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
14:30:49.335 [Thread-2] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
14:33:30.339 [main] INFO  com.bmw.seed.test.DemoTest - Starting DemoTest on LAPTOP-E6B2N0T6 with PID 9584 (started by yuxc in E:\yuxc\xyz\bimowu-Study\case-seckill)
14:33:30.345 [main] INFO  com.bmw.seed.test.DemoTest - No active profile set, falling back to default profiles: default
14:33:33.879 [main] INFO  com.bmw.seed.test.DemoTest - Started DemoTest in 4.006 seconds (JVM running for 5.079)
14:33:34.184 [pool-3-thread-4] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ===开始调用秒杀接口
14:33:34.184 [pool-3-thread-2] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ===开始调用秒杀接口
14:33:34.184 [pool-3-thread-3] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ===开始调用秒杀接口
14:33:34.184 [pool-3-thread-5] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ===开始调用秒杀接口
14:33:34.185 [pool-3-thread-4] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ======验证参数=======
14:33:34.185 [pool-3-thread-2] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ======验证参数=======
14:33:34.184 [pool-3-thread-1] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ===开始调用秒杀接口
14:33:34.185 [pool-3-thread-3] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ======验证参数=======
14:33:34.185 [pool-3-thread-5] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ======验证参数=======
14:33:34.185 [pool-3-thread-1] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ======验证参数=======
14:33:34.286 [pool-3-thread-2] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
14:33:34.509 [pool-3-thread-4] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ===校验数据是否合法通过===
14:33:34.509 [pool-3-thread-1] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ===校验数据是否合法通过===
14:33:34.509 [pool-3-thread-3] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ===校验数据是否合法通过===
14:33:34.509 [pool-3-thread-5] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ===校验数据是否合法通过===
14:33:34.509 [pool-3-thread-4] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ====校验 库存是否足够===
14:33:34.509 [pool-3-thread-2] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ===校验数据是否合法通过===
14:33:34.509 [pool-3-thread-3] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ====校验 库存是否足够===
14:33:34.509 [pool-3-thread-1] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ====校验 库存是否足够===
14:33:34.510 [pool-3-thread-5] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ====校验 库存是否足够===
14:33:34.510 [pool-3-thread-2] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ====校验 库存是否足够===
14:33:44.210 [Thread-2] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
14:33:44.218 [Thread-2] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
14:34:37.564 [main] INFO  com.bmw.seed.test.DemoTest - Starting DemoTest on LAPTOP-E6B2N0T6 with PID 7884 (started by yuxc in E:\yuxc\xyz\bimowu-Study\case-seckill)
14:34:37.570 [main] INFO  com.bmw.seed.test.DemoTest - No active profile set, falling back to default profiles: default
14:34:40.983 [main] INFO  com.bmw.seed.test.DemoTest - Started DemoTest in 3.889 seconds (JVM running for 4.882)
14:34:41.187 [pool-3-thread-1] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ===开始调用秒杀接口
14:34:41.187 [pool-3-thread-5] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ===开始调用秒杀接口
14:34:41.187 [pool-3-thread-3] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ===开始调用秒杀接口
14:34:41.187 [pool-3-thread-2] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ===开始调用秒杀接口
14:34:41.187 [pool-3-thread-4] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ===开始调用秒杀接口
14:34:41.187 [pool-3-thread-1] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ======验证参数=======
14:34:41.187 [pool-3-thread-3] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ======验证参数=======
14:34:41.187 [pool-3-thread-5] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ======验证参数=======
14:34:41.187 [pool-3-thread-4] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ======验证参数=======
14:34:41.187 [pool-3-thread-2] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ======验证参数=======
14:34:41.294 [pool-3-thread-3] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
14:34:41.556 [pool-3-thread-1] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ===校验数据是否合法通过===
14:34:41.556 [pool-3-thread-3] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ===校验数据是否合法通过===
14:34:41.556 [pool-3-thread-2] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ===校验数据是否合法通过===
14:34:41.556 [pool-3-thread-5] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ===校验数据是否合法通过===
14:34:41.556 [pool-3-thread-4] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ===校验数据是否合法通过===
14:34:41.556 [pool-3-thread-3] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ====校验 库存是否足够===
14:34:41.556 [pool-3-thread-1] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ====校验 库存是否足够===
14:34:41.557 [pool-3-thread-4] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ====校验 库存是否足够===
14:34:41.557 [pool-3-thread-2] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ====校验 库存是否足够===
14:34:41.557 [pool-3-thread-5] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ====校验 库存是否足够===
14:34:51.214 [Thread-2] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
14:34:51.224 [Thread-2] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
14:37:44.098 [main] INFO  com.bmw.seed.test.DemoTest - Starting DemoTest on LAPTOP-E6B2N0T6 with PID 16644 (started by yuxc in E:\yuxc\xyz\bimowu-Study\case-seckill)
14:37:44.104 [main] INFO  com.bmw.seed.test.DemoTest - No active profile set, falling back to default profiles: default
14:37:47.467 [main] INFO  com.bmw.seed.test.DemoTest - Started DemoTest in 3.903 seconds (JVM running for 4.905)
14:37:47.737 [pool-3-thread-4] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ===开始调用秒杀接口
14:37:47.737 [pool-3-thread-3] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ===开始调用秒杀接口
14:37:47.737 [pool-3-thread-1] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ===开始调用秒杀接口
14:37:47.737 [pool-3-thread-5] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ===开始调用秒杀接口
14:37:47.737 [pool-3-thread-2] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ===开始调用秒杀接口
14:37:47.737 [pool-3-thread-1] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ======验证参数=======
14:37:47.737 [pool-3-thread-4] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ======验证参数=======
14:37:47.738 [pool-3-thread-5] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ======验证参数=======
14:37:47.738 [pool-3-thread-2] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ======验证参数=======
14:37:47.737 [pool-3-thread-3] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ======验证参数=======
14:37:47.856 [pool-3-thread-1] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
14:37:48.094 [pool-3-thread-3] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ===校验数据是否合法通过===
14:37:48.094 [pool-3-thread-4] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ===校验数据是否合法通过===
14:37:48.094 [pool-3-thread-5] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ===校验数据是否合法通过===
14:37:48.094 [pool-3-thread-1] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ===校验数据是否合法通过===
14:37:48.094 [pool-3-thread-3] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ====校验 库存是否足够===
14:37:48.094 [pool-3-thread-4] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ====校验 库存是否足够===
14:37:48.094 [pool-3-thread-5] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ====校验 库存是否足够===
14:37:48.094 [pool-3-thread-2] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ===校验数据是否合法通过===
14:37:48.094 [pool-3-thread-1] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ====校验 库存是否足够===
14:37:48.094 [pool-3-thread-2] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ====校验 库存是否足够===
14:37:48.101 [pool-3-thread-4] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ===校验库存是否充足通过====
14:37:48.101 [pool-3-thread-5] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ===校验库存是否充足通过====
14:37:48.101 [pool-3-thread-4] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ===开始扣减库存===
14:37:48.101 [pool-3-thread-5] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ===开始扣减库存===
14:37:48.102 [pool-3-thread-3] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ===校验库存是否充足通过====
14:37:48.102 [pool-3-thread-1] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ===校验库存是否充足通过====
14:37:48.103 [pool-3-thread-3] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ===开始扣减库存===
14:37:48.103 [pool-3-thread-2] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ===校验库存是否充足通过====
14:37:48.103 [pool-3-thread-1] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ===开始扣减库存===
14:37:48.103 [pool-3-thread-2] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ===开始扣减库存===
14:37:48.144 [pool-3-thread-2] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ===修改库存成功===
14:37:48.144 [pool-3-thread-1] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ===修改库存成功===
14:37:48.144 [pool-3-thread-4] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ===修改库存成功===
14:37:48.144 [pool-3-thread-3] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ===修改库存成功===
14:37:48.144 [pool-3-thread-5] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ===修改库存成功===
14:37:48.157 [pool-3-thread-4] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ===创建订单成功===
14:37:48.157 [pool-3-thread-3] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ===创建订单成功===
14:37:48.157 [pool-3-thread-4] INFO  com.bmw.seed.test.DemoTest - pool-3-thread-4创建了一个线程执行：
14:37:48.157 [pool-3-thread-2] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ===创建订单成功===
14:37:48.157 [pool-3-thread-1] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ===创建订单成功===
14:37:48.157 [pool-3-thread-3] INFO  com.bmw.seed.test.DemoTest - pool-3-thread-3创建了一个线程执行：
14:37:48.157 [pool-3-thread-2] INFO  com.bmw.seed.test.DemoTest - pool-3-thread-2创建了一个线程执行：
14:37:48.157 [pool-3-thread-1] INFO  com.bmw.seed.test.DemoTest - pool-3-thread-1创建了一个线程执行：
14:37:48.158 [pool-3-thread-5] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ===创建订单成功===
14:37:48.158 [pool-3-thread-5] INFO  com.bmw.seed.test.DemoTest - pool-3-thread-5创建了一个线程执行：
14:37:57.760 [Thread-2] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
